w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
立つ,天気,握る,いつ,解散,濃い,必死,指定,掃除,当選
関係,もっと,親子,作品,防ぐ,計画,選挙,事務,取材,優勝
用事,送る,基準,有名,夕食,活動,忘れる,定義,緊急,栽培
匂い,保護,今月,何か,公共,世紀,学期,決勝,知恵,海岸
汚染,範囲,整備,採用,子,歴史,歌手,日常,再会,改札
犬,入学,市役所,電子,対立,影,燃料,残る,裸,細胞
生産,なぜ,失敗,危険,破る,心身,賞,道路,根拠,巣
外,酸素,無限,覚悟,一方,限定,怪しい,眼鏡,秋,全員
特色,遠い,作る,編集,大いに,災害,負け,全国,団体,限り
放送,単に,時計,証明,勢い,半,絶対,朝日,範囲,輸出
文字,設定,入社,集まる,記述,反発,我慢,残す,成人,公開
効果,輸出,裁判,願う,常識,出会う,人数,私,薄い,たとえ
険しい,注意,母親,橋,心臓,砂,自信,料金,農業,反発
休む,面食い,低い,浴びる,警告,資金,鳴る,前半,入社,提供
改革,容易,進出,水平,演技,梅,平日,進む,向かう,真理
工業,アルバム,トラック,決意,提供,囲む,バランス,不利,決勝,時計
青年,期限,パン,課題,先行,成人,去る,牛,強制,祖父
会員,人名,個性,穀物,女の子,人間,相続,聞く,悪魔,実現
真理,達成,書類,長さ,彫刻,水準,階段,レベル,証明,合格
比例,昨日,病院,友人,境,自然,お金,通信,当選,燃料
教師,要素,私立,最終,気分,要請,地帯,写る,握る,親しい
水道,博士,水分,破壊,劇,しばらく,間,月末,弱い,色
代理,以後,取材,乾燥,場所,焦点,全身,単位,適用,殴る
開発,三つ,世の中,足りる,印刷,覚える,芝居,円,休日,実は
生じる,設備,事故,着る,最初,相互,どの,列車,困難,あたり
高い,尊敬,年生,中心,祭り,独特,記事,役,作,常識
制度,川,ほとんど,豊富,友達,全体,余裕,選択,人数,技師
毎年,会う,金曜,重要,政治,任務,線,よく,火曜,意欲
