Words,Reading,Meaning
なるほど,なるほど,I see
男性,だんせい,man
決まる,きまる,to be decided
気持ち,きもち,feeling
喜ぶ,よろこぶ,to be delighted
鳴る,なる,to sound
ビル,ビル,multi-floor building
汚れる,よごれる,to get dirty
聞こえる,きこえる,to be heard
なるべく,なるべく,as much as possible
危険,きけん,danger
湯,ゆ,hot water
医学,いがく,medical science
釣る,つる,to fish
レジ,レジ,(cash) register
会話,かいわ,conversation
降り出す,ふりだす,to begin to rain
下がる,さがる,to come down
下げる,さげる,to hang
まいる,まいる,to go
踊り,おどり,dance
柔らかい,やわらかい,soft
盗む,ぬすむ,to steal
時代,じだい,period
痩せる,やせる,to become thin
葉,は,leaf
だいぶ,だいぶ,considerably
倍,ばい,twice
建てる,たてる,to build
会議室,かいぎしつ,conference room
会議,かいぎ,meeting
たいてい,たいてい,mostly
講堂,こうどう,auditorium
用事,ようじ,tasks
必要,ひつよう,necessary
場合,ばあい,case
郊外,こうがい,suburb
場所,ばしょ,place
用,よう,task
会場,かいじょう,assembly hall
用意,ようい,preparation
硬い,かたい,hard; ...
スーツ,スーツ,suit
スーツケース,スーツケース,suitcase
必ず,かならず,always
講義,こうぎ,lecture
だいたい,だいたい,"outline, main points, generally"
尋ねる,たずねる,to ask
起こす,おこす,to raise
アフリカ,アフリか,Africa
味,あじ,flavor
二階建て,にかいだて,two-storied building
返事,へんじ,reply
漫画,まんが,cartoon
一生懸命,いっしょうけんめい,very hard
だから,だから,so
堅,けん,strength
熱,ねつ,heat
厳しい,きびしい,severe
ちゃん,ちゃん,suffix for familiar person
立てる,たてる,to stand up
規則,きそく,rules
ちっとも,ちっとも,not at all
治る,なおる,to be cured
濡れる,ぬれる,to get wet
治す,なおす,to cure
泥棒,どろぼう,thief
教会,きょうかい,church
そんな,そんな,such
心,こころ,"mind, heart"
それに,それに,besides
それほど,それほど,to that degree
それで,それで,and
オートバイ,オートバイ,motorcycle
代わり,かわり,substitute
遠慮,えんりょ,reserve
寝坊,ねぼう,"sleeping in late, oversleeping"
やっと,やっと,at last
柔道,じゅうどう,judo
打つ,うつ,to hit
十分,じゅうぶん,plenty
漬ける,つける,to soak
新聞社,しんぶんしゃ,newspaper company
森,もり,forest
謝る,あやまる,to apologize
旅館,りょかん,ryokan
あんな,あんな,such
地震,じしん,earthquake
具合,ぐあい,condition
下着,したぎ,underwear
すり,すり,pickpocket
産業,さんぎょう,industry
正しい,ただしい,right
首,くび,neck
寄る,よる,to approach
草,くさ,grass
工業,こうぎょう,industry
毛,け,hair
泊まる,とまる,to stay at
とうとう,とうとう,finally
米,こめ,rice
星,ほし,star
