w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
夏休み,半分,友人,木綿,十九,未来,駐車場,関西,解読,大勢
小川,書く,花見,山火事,人生,祖母,十分,途中,下火,優先
教科書,人間,東側,菓子,木の葉,読書,国語,六時,万引き,電車
友情,男の子,男子,校庭,水分,収入,輸入,十七,聴聞,見聞
生活,輸出,外国人,今年,一言,基本,銀行,購読,社長,今後
梅雨,川沿い,書店,人間,数百,正午,電池,今日,六角,四国
電話,何千,雨天,千円札,南側,自動車,中立,万年筆,母親,毎回
出版,子供,食欲,彼女,生意気,六つ,お母さん,最高,四日,土手
九つ,香水,休暇,南東,見物,停電,真っ白,物語,入れる,入る
時間,地下鉄,三日,留学,晴天,校長,万一,上げる,本棚,何となく
学校,高校,生まれる,長男,小売,白い,祖父母,十字路,天気予報,右足
南極,植木,月賦,八百屋,北東,土産,言語,入学,二十歳,名物
椅子,会話,小屋,見る,休息,後ろ,来週,何しろ,国籍,二番
食堂,天候,並木,九重,千葉県,毎日,六日,気分,告白,電話
時計,生きる,自分,水道,八日,父親,電気,外国,中心,十七日
木材,一致,女の子,一日,多分,右手,火山,右折,毎度,西日
中学校,友達,九州,円高,左側,七つ,手前,東北,金庫,以前
三つ,年寄り,数千,天然,食べる,毎朝,日記,日付,名前,略語
水泳,休む,大半,半分,話し合う,先生,本能,大変,七夕,背中
男性,雨戸,川岸,以外,書類,上手,莫大,将来,上着,来日
五日,火山,天気,親友,五感,万能,右側,二部,先輩,以上
一番,円滑,出る,何百,去年,二つ,何で,電気,東西,祝日
東京,少女,山脈,谷川,以下,火災,七日,行動,後者,並行
大人,食事,左利き,三振,女子,国民,北海道,母校,何分,国際
八百屋,百姓,時々,五目,氷山,旅行,土地,前提,左右,読み方
半島,東部,入学,食品,月謝,四つ,議長,四角,粘土,高い
八つ,海外,淡水,休憩,間に合う,署名,今年,面白い,電車,祖父
小学校,時間,登校,雨季,第三者,病気,有名,聞こえる,国語,午後中
女性,月末,下手,左折,出血,新聞,四季,午後,名刺,十日
登山,分析,南瓜,小さい,雨具,高速,最後,土台,高校,十六
気分,再三,青年,下がる,通学,金属,二十日,毎日,二日酔い,気候
発見,数学,一緒,半端,男女,夜中,上る,先ず,大切,北口
靴下,左肩,百貨店,当時,時刻表,北側,午前,直後,北東,本物
天才,人口,話す,月並み,外国,大学,西暦,花火,平日,火事
少年,南北,息子,出す,校舎,何時も,先週,金融,午前中,今回
郊外,見せる,五つ,世話,半ば,英語,高価,長い,今朝,成長
千里,九日,商人,時間割,堀川,二十日,聞く,本質,伯父,青白い
月給,八丁,瞬間,東方,円卓,西洋,毎晩,発車,行く,乳母車
左手,五分,十八番,図書館,帽子,今週,現金,お父さん,本来,万事
円満,小説,円柱,生む,交友,午前,読む,名所,自転車,お金
