Phrase,Translation
風呂を沸かす,Prepare (heat) the bath
風呂を沸かしなおす,Reheat the bath
風呂を沸かしすぎる,Overheat the bath
やかんの湯を沸かす,Boil the water in the kettle
やかんの湯が沸いている,The water in the kettle is boiling
風呂が沸いているから入りなさい,"The bath is ready, so get in"
卵をゆでる,Boil an egg
麺をしっかりするまでゆでる,Boil the noodles until firm
彼は自分が間違っていたことを認めた,He admitted he was in the wrong
手紙の宛名が間違っていた,The letter was wrongly addressed
彼は自分が間違っていたことを認めた,He admitted he was wrong
計算を間違える,Make a mistake in calculation
順番を間違える,Get.. in the wrong order
操作を間違える,Make a mistake in operating
字を間違える,Write the wrong character
発音を間違える,Make a mistake in pronunciation
約束の曜日を間違えてやってくる,Come on the wrong day for an appointment
意見がそれぞれ違う,Different opinions
習慣は国によって違う,Customs differ from one country to another
われわれは帰る方向が違う,We're going home in a different direction
山頂を覆う雲,Clouds covering the summit
頂上を雲で覆われた山,A mountain with its peak covered by clouds
頂を雪に覆われた山,A mountain covered with snow at its peak
地面を厚く覆っている落ち葉,Fallen leaves covering the ground thickly
毛布に身を包む,Wrap yourself in a blanket
プレゼント用に包んでください,Wrap it up as a gift
それを風呂敷に包んで持ってきた,I wrapped it in furoshiki and brought it
やさしく包み込むような愛情,"Gentle, all-encompassing love"
じゅうたんを巻く,Roll up a carpet
腕に包帯を巻く,Bandage your arm
首にスカーフを巻く,Wrap a scarf around your neck
腰にロープを巻く,Wrap the rope around your waist
