Time,Script,Translation1,Translation2
8s,"こんばんは ""in living"" です。","Good evening, this is ""inliving"".","Good evening, it's ""in living""."
10s,今日は私のナイトルーティーンを ご紹介していきたいと思います。,"Today, I am going to take you all through my evening routine",Today I would like to introduce you to my night routine.
16s,ごちそうさまでした。,Thank you for the meal,Thank you for the meal.
24s,今は晩ごはんを食べ終わったところです。,I have just finished eating supper.,I have just finished eating dinner.
30s,明日めんどくさくないように、 食器は夜のうちに洗っておきます。,I do my dishes at night so that I don't have to deal with them the next morning.,Wash the dishes in the evening so that it won't be annoying tomorrow.
1:01,食後のYoutubeタイム。,"After eating, it's time for YouTube.",Youtube time after a meal.
1:05,"好きな動画を観たり、""in living.""のチャンネルを チェックしたりします。",I watch my favourite videos or check my channel.,"Watch your favorite videos and check out the ""in living."" Channel."
1:24,お腹が落ち着いたら、次はお風呂に入ります。,"After a little tummy break, I get ready for shower.","When you're hungry, it's time to take a bath."
1:28,洗顔はシャボン玉石鹸を愛用しています。,"I've been loving the ""Shabonndama sekken"" face cleanser.",I use soap bubble soap to wash my face.
1:32,かっさでリンパも流します。,"I also take care of my lymph glands with ""Kassa"".",Lymph is also drained with a cap.
1:36,お湯は体調によって 溜めたり、溜めなかったり,I also take a bath depending on how I'm feeling.,Hot water may or may not be stored depending on your physical condition
1:41,入浴中はラジオを聴いています,I listen to the radio when I'm bathe.,I'm listening to the radio while taking a bath
2:02,夜のスキンケアはこんな感じ,These are what I use for my nighttime skincare.,Night skin care looks like this
2:12,アベンヌウオーターをシューっとかけて、,"After spaying some Avene water,","Shoe Avene Water,"
2:23,ハトムギ化粧水でコットンパックをしていきます。,"using ""Hatomugi"" skin lotion, I make a face mask with cosmetic cotton.",I will pack cotton with Coix seed lotion.
2:33,コットンはたくさん割けるものが好きです。,"As for the cotton, I like the ones that you can peel a few times.",I like cotton that can be broken a lot.
2:50,しばらく経ったらコットンを外して、,"After a while, I take the cotton off and","After a while, remove the cotton and"
3:05,ミノンの乳液を塗っていきます。,apply my MINON moisturising cream.,I will apply Minon's milky lotion.
3:28,ここでも軽くリンパを流します。,I also massage around my lymph glands.,"Again, lightly drain the lymph."
3:59,おしまいです。,Done.,That's it.
4:03,次は 髪を乾かしていきます。,"Next, I'm going to blow dry my hair.","Next, I will dry my hair."
4:31,ちなみにパジャマは無印良品の スリーパーを愛用しています。,"By the way, my pyjamas are ""Sleeper"" from muji.","By the way, pajamas love MUJI sleepers."
4:42,お 風呂上りの一 杯はキレートレモン。,"My drink after bath is ""kire-to lemon"".",A cup of chelated lemon after the bath.
4:46,酸っぱくて炭酸が強くてお気に入りです。,It's sour and very fizzy which I like.,I like it because it is sour and has strong carbonic acid.
5:07,ビタミンをチャージしたら、,"After consuming some vitamin,",After charging the vitamins
5:10,Youtubeに上げる動画を編集していきます。,I start editing my videos for YouTube.,I will edit the video to be uploaded to Youtube.
5:20,最近は撮影した次の日にアップすることが多いです。,"Lately, I'm uploading videos that I filmed on the previous day.","Recently, it is often uploaded the day after shooting."
5:53,電気を暗くして、残っている仕事を片付けます。,I dim the lights and finish off tasks that need to be done.,Dimming the lights and getting rid of the remaining work.
6:45,歯磨きをして、,"I brush my teeth,",Brush your teeth
6:49,ベットに移動します。,and go to my bed.,Move to the bet.
7:08,iPadで動画を見ながら、 ストレッチと筋トレをしていきます。,I do some stretches and a little muscle training whilst watching videos on my iPad.,"While watching the video on the iPad, I will stretch and do muscle training."
7:27,デスクワークで体がバキバキになりやすいので、 丁寧にゆっくりほぐしていきます。,I tend to get stiff from the desk works so I carefully and gradually loosen up my body.,"Desk work tends to make your body flutter, so gently and slowly loosen it."
7:49,筋トレは毎日続けられるように、 ごく軽いものにしています。,I keep my muscle training simple so that I can do them consistently everyday.,I keep my strength training very light so that I can continue it every day.
8:09,お布団 を準備して、,I set my bed and...,Prepare your futon and
8:46,眠くなるまで動画を見て、のんびりします。,and watch videos and relax until I get sleepy.,Watch the video until you feel sleepy and relax.
9:08,眠ってしまう前に一度お手洗いに行って、 コンタクトを外します。,I go to the bathroom and take out my contact lenses before I fall asleep.,"Before you fall asleep, go to the bathroom and remove your contacts."
9:54,蒸気でホットアイマスクをつけて、,Put on my steam eye mask and,"Put on a hot eye mask with steam,"
10:05,それじゃおやすみなさい。,Good night now.,Then good night.
10:12,最後まで見て下さって、ありがとうございました。,Thank you for watching till the end.,Thank you for watching until the end.
10:15,これが私のナイトルーティーンです。,And this concludes my night routine.,This is my night routine.
10s,おはよう ござい ます in living です,"Good morning, I'm ""in living"".",Good morning in living
13s,今日 は 私 の morning routine を ご 紹介 し たい と 思い ます,"Today, I would like to take you through my morning routine.",Today I would like to introduce you to my morning routine
24s,この 日 は お 休み だっ た の で 目覚まし を かけ ず に 寝 て い ます,"I didn't have work this day, so I slept without my alarm on.","I was absent on this day, so I'm sleeping without an alarm clock."
32s,普段 から 7 時 過ぎ に は 自然 と 目 が 覚め ます,I usually wake up around 7:00 naturally.,I wake up naturally after 7 o'clock.
42s,で も 寒く て すぐ に は 起き られ ない の で,But I can't wake up right away because it's too cold so,But it's cold and I can't get up right away
47s,暖房 を つけ て 二度 寝 し て しまう こと が 多い です,I turn on my heater and usually end up falling asleep again.,I often fall asleep twice with the heater on.
1:00,10 分 くらい する と お 部屋 が 温まってまた 自然 に 目 が 覚め ます,"After about 10 minutes, my room warms up and I naturally wake up again.","After about 10 minutes, the room will warm up and you will wake up naturally."
1:19,起き て き まし た,Getting up now.,I got up
1:28,今日 の 寝癖 は こんな 感じ いつ も かなり もさもさ ボサボサ です,"My bedhead looks like this today It's usually very messy, and fluffy.",Today's sleeping habit is like this
1:37,朝 起き たら 白湯 を 一杯 飲む よう に し て い ます,"After I wake up, I make it a rule to drink a cup of warm water.",I try to drink a glass of plain hot water when I wake up in the morning.
1:45,お腹 を 温め て 頭 を 起こす 作戦 な ん です けど,"By doing this, I'm trying to warm my tummy and wake my head.",It's a strategy to warm your stomach and raise your head.
1:50,だいぶ ボーッとひたすら ボー と し て い ます,"But I'm still in daze, very much, actually, in daze.",It ’s pretty dumb and it ’s just bo.
2:09,頭 が 起き て き たら 次 は シャワー を 浴び ます,"After my head finally starts to function, I go and take a shower.","When my head gets up, I'll take a shower next time"
2:29,朝 の スキン ケア は こんな 感じ アベンヌ ウオーター を シューッと かけ て,"My morning skincare looks like this. I spray Avene water and,",Morning skin care looks like this Shoe Avene Water
2:44,ハトムギ化粧 水 を パタパタ し て,"soak in Hatomugi skin lotion, and then",Patter the Coix seed lotion
2:57,ミノンの 乳液 を 塗っ て お しまい です,apply Minon moisturising cream and that's it.,I'm done with Minon's milky lotion
3:07,いつ もは 基本 スッピン な ん です けど 今日 は お 出かけ の 予定 が ある の で メイク を し て いき ます,"I usually don't put any make up on, but I'm going out today so I'm going to put some makeup on.","I'm always a basic makeup, but I have a plan to go out today, so I'm going to do make-up."
3:17,メイク用品 は こんな 感じ,These are what I use for makeup.,Makeup supplies look like this
3:23,イヴ サンローラン の コンシーラー で クマ や 鼻 スジ 小鼻 の 横,"With an YSL concealer, I apply on my bags, nose bridge, the side of my nose,",Yves Saint Laurent concealer next to bears and nose streaks
3:29,口角 など 気 に なる ところ をカバー し て いき ます,"the edge of my mouth, and places that I want to cover up.",We will cover areas of concern such as the corners of the mouth.
3:48,唇 に ワセリン を 塗っ て,I apply vaseline on my lips,Apply Vaseline to your lips
3:52,とりあえず 完成 です,and that's it for now.,It is completed for the time being
3:57,次 は 髪 を セット し て いき ます,I'm now going to do my hair,"Next, I will set my hair"
4:10,乾い たら コテ で 軽く 表面を 整え て いき ます,"Once my hair is dry, with a straightener, I fix the surface.","When it dries, lightly prepare the surface with a trowel."
4:36,朝ごはん は 毎日 バナナ と ヨーグルト を 食べ て い ます,"For breakfast, I eat a banana and yoghurt everyday.",I eat bananas and yogurt every day for breakfast
4:54,飲み物 は 無印 良品 が マサラ チャイ が お気に入りです,My go to drink is MUJI's Masala chai.,"As for drinks, MUJI is my favorite, and Masala Chai is my favorite."
5:35,寝起き の 白湯と この 朝 バナナ ヨーグルト を 続ける よう に し たら それ だけ で,"Since starting to drink warm water after getting up and eating banana and yogurt for breakfast, I feel as though my body is lighter.","If you try to keep the hot water of waking up and the banana yogurt this morning, that's it."
