Phrase,Sentence
彼には１週間会っていない,新聞記者が来ても彼は会わなかった
われわれの意見はいつも合わない,"遠景と近景が合っていて, いい絵だね"
ここへ来る途中で田中さんに遭った,3 時にお得意さんと遭う約束がある
彼はそれは本当だと言った,その理由は今は言えない
私は全速力で彼の後を追った,その男の子は母親の後を追ってばかりいる
彼は独りでは無理な量の仕事を負わされている,それはとても私の手に負えない
魚はいつもあの店で買います,その車はいくらで買ったのですか
この猫は人に飼われていた猫だね,犬を飼う場合は役所に登録してください
どうして謝って彼の許しを請わないんだ,一席の講演を請われる
私はたばこは吸いません,掃除機がごみを吸う
通りに沿った店,点線に沿って紙を折る
ご要望に添えない場合もございます,結果はわれわれの期待に添わなかった
問われるままに答える,その真価が問われている
ほころびを縫う,傷は 5 針ほど縫った
赤ちゃんは部屋に這ってきた,彼は足に何かが這い上がってくるのを感じた
空にはトンビが悠々と舞っていた,木の葉が庭でくるくる舞っていた
飲んでも酔わない,子供は乗り物に酔いやすい
内側から開く,押したらドアが開いた
失礼ですがこの席は空いていますか,腹が空いてから食ったんだ
たまには車に乗らずに歩いて行こう,この通りを行くと上野へ出ます
スープの中に髪の毛が浮いてるよ,私たちは油が水に浮くことを習った
傘立てに傘を置く,歩道に自転車を置くな
生徒に作文を書かせる,"私が口で言いますから, それを書いてください"
私は午後は絵を描いて過ごした,青空を背景に木々を描く
虫に噛まれたところを掻いてはいけない,神経質な人頭を掻いたりするものだ
花びんの縁を欠いてしまった,この建物は調和を欠いている
その犬は地面をくんくん嗅いだ,食べ物のにおいを嗅いだらおなかがすいた
外でガラスの割れる音を聞い,つらい胸の内を聞いてください
この薬は風邪にはてきめんに効く,だいぶ温泉が効いた
彼らは池でボートを漕いでいる,交替でボートを漕ごうよ
春が来ると木の花が咲きます,彼女の庭はいつも様々な花が咲く
彼はその新聞を半分に裂いた,私は彼がその手紙を引き裂くのを見た
床にカーペットを敷いた,はベッドに綺麗なシーツを敷いた
まだ玄米を炊いてる途中です,炊飯器でご飯を炊くよ
火を焚いてあたる,お湯がぬるかったら焚いてください
家に着くのは夜中になる,宅配で荷物が着いた
２枚の板がぴったり付いて離れない,契約にはいくつか条件が付いた
いい仕事に就くのは難しくなりつつあるようだ,彼は友達の親切な世話でその職に就いた
エアコンが壊れて点かない,突然その光は点いた
針で親指を突いてしまった,肘でそっと突く
盃に半分酒を注ぐ,彼にビールを注いであげてください
コーヒーは緑茶に次いで需要がある,ロンドンに次ぐ大都会
医者は彼の折れた足を接いだ,病院で骨を接いでもらった
彼女は父の芸風と母の才能を継いだ,父親が引退すると彼は商売を継いだ
その問題を解くのは簡単ではない,明日荷物を解きます
塩を水で溶く, 砂糖を酒で溶く
製作手法を詳しく説く,先生はこの点を詳細に説いた
彼女は蛇を見て退いた,彼女が通れるように彼は横へ退いてあげた
包丁を砥石で研ぐ,猫が柱で爪を研いでいた
子供は医者の前で泣きわめいた,お金を落として泣きたくなった
はよく食事を抜いていた,指に刺さったとげを抜く
