Words,Reading,Meaning
男子,だんし,youth
男の人,おとこのひと,man
成人,せいじん,adult
成績,せいせき,results
慎重,しんちょう,careful
成長,せいちょう,growth
気づく,きづく,to notice
寄付,きふ,contribution
医師,いし,doctor
汚染,おせん,pollution
向ける,むける,to turn towards
隠れる,かくれる,to be hidden
隠す,かくす,to hide
スピーチ,スピーチ,speech
売れる,うれる,to sell
やはり,やはり,too
迷惑,めいわく,trouble
効く,きく,to be effective
心理,しんり,state of mind
いずれ,いずれ,"where, which, who, anyhow, eventually"
咳,せき,cough
成功,せいこう,success
器用,きよう,"skilful, clever"
害,がい,injury
当てる,あてる,"to hit, to expose, to apply, to hold on"
当たる,あたる,"to be hit, to be strike, to be in contact"
体温,たいおん,temperature
体育,たいいく,physical education
よると,よると,according to
迷子,まいご,lost child
向く,,
むく,,
to face; ...,,
N3,,
TOP 2500,,
平等,,
びょうどう,,
equality,,
N3,,
TOP 10000,,
金曜,,
きんよう,,
Friday,,
N3,,
TOP 10000,,
専攻,,
せんこう,,
major subject,,
N3,,
TOP 10000,,
トランプ,,
playing cards,,
N3,,
TOP 5000,,
性格,,
せいかく,,
character,,
N3,,
TOP 2500,,
だめ,,
no good; ...,,
N3,,
TOP 1000,,
参考,,
さんこう,,
reference,,
N3,,
TOP 1000,,
明確,,
めいかく,,
clear,,
N3,,
TOP 2500,,
釣り,,
つり,,
fishing; ...,,
N3,,
TOP 2500,,
愛情,,
あいじょう,,
love,,
N3,,
TOP 5000,,
解く,,
とく,,
to untie; ...,,
N3,,
TOP 5000,,
企業,,
きぎょう,,
enterprise,,
N3,,
TOP 400,,
明らか,,
あきらか,,
obvious,,
N3,,
TOP 2500,,
紐,,
ひも,,
string; ...,,
N3,,
TOP 10000,,
有利,,
ゆうり,,
advantageous,,
N3,,
TOP 5000,,
巣,,
す,,
nest; ...,,
N3,,
TOP 10000,,
勢い,,
いきおい,,
force; ...,,
N3,,
TOP 5000,,
郵便,,
ゆうびん,,
mail service; ...,,
N3,,
TOP 10000,,
参加,,
さんか,,
participation,,
N3,,
TOP 300,,
命令,,
めいれい,,
order; ...,,
N3,,
TOP 10000,,
次第,,
しだい,,
dependent upon; ...,,
N3,,
TOP 2500,,
検査,,
けんさ,,
inspection,,
N3,,
TOP 2500,,
金融,,
きんゆう,,
financing,,
N3,,
TOP 5000,,
要点,,
ようてん,,
gist,,
N3,,
梅,,
うめ,,
Japanese apricot; ...,,
N3,,
TOP 5000,,
準備,,
じゅんび,,
preparation,,
N3,,
TOP 1000,,
要素,,
ようそ,,
component; ...,,
N3,,
TOP 2500,,
大部分,,
だいぶぶん,,
most part,,
N3,,
TOP 10000,,
雇う,,
やとう,,
to employ; ...,,
N3,,
TOP 10000,,
要求,,
ようきゅう,,
demand,,
N3,,
TOP 5000,,
建築,,
けんちく,,
construction,,
N3,,
TOP 5000,,
配達,,
はいたつ,,
delivery,,
N3,,
TOP 5000,,
筆,,
ふで,,
writing brush,,
N3,,
TOP 10000,,
ゆっくり,,
slowly,,
N3,,
TOP 2500,,
場面,,
ばめん,,
scene,,
N3,,
TOP 2500,,
憲法,,
けんぽう,,
constitution,,
N3,,
TOP 10000,,
常に,,
つねに,,
always,,
N3,,
TOP 1000,,
大半,,
たいはん,,
majority; ...,,
N3,,
TOP 5000,,
占める,,
しめる,,
to occupy; ...,,
N3,,
TOP 5000,,
解ける,,
とける,,
to be solved; ...,,
N3,,
TOP 10000,,
下り,,
くだり,,
down-train; ...,,
N3,,
TOP 10000,,
解決,,
かいけつ,,
settlement,,
N3,,
TOP 1000,,
金属,,
きんぞく,,
metal,,
N3,,
TOP 5000,,
金銭,,
きんせん,,
money,,
N3,,
TOP 10000,,
くださる,,
to give; ...,,
N3,,
TOP 100,,
要するに,,
ようするに,,
in a word,,
N3,,
TOP 10000,,
場,,
ば,,
place; ...,,
N3,,
TOP 2500,,
製品,,
せいひん,,
manufactured goods,,
N3,,
TOP 1000,,
会計,,
かいけい,,
account,,
N3,,
TOP 5000,,
愛する,,
あいする,,
to love,,
N3,,
TOP 5000,,
城,,
しろ,,
castle,,
N3,,
TOP 5000,,
時刻,,
じこく,,
instant,,
N3,,
TOP 10000,,
用心,,
ようじん,,
care,,
N3,,
基づく,,
もとづく,,
to be grounded on,,
N3,,
TOP 5000,,
貢献,,
こうけん,,
contribution,,
N3,,
TOP 5000,,
建設,,
けんせつ,,
construction,,
N3,,
TOP 5000,,
できれば,,
if possible,,
N3,,
TOP 2500,,
会員,,
かいいん,,
member,,
N3,,
TOP 1000,,
操作,,
そうさ,,
operation; ...,,
N3,,
TOP 2500,,
瞬間,,
しゅんかん,,
moment,,
N3,,
TOP 2500,,
大統領,,
だいとうりょう,,
president,,
N3,,
TOP 5000,,
用いる,,
もちいる,,
to use,,
N3,,
TOP 2500,,
膝,,
ひざ,,
knee; ...,,
N3,,
TOP 5000,,
大戦,,
たいせん,,
great war,,
N3,,
行動,,
こうどう,,
action,,
N3,,
TOP 1000,,
冗談,,
じょうだん,,
jest,,
N3,,
TOP 10000,,
時期,,
じき,,
time; ...,,
N3,,
TOP 500,,
製造,,
せいぞう,,
manufacture,,
N3,,
TOP 2500,,
会合,,
かいごう,,
meeting; ...,,
N3,,
TOP 10000,,
財産,,
ざいさん,,
property,,
N3,,
TOP 5000,,
必ずしも,,
かならずしも,,
not always,,
N3,,
TOP 5000,,
嫌う,,
きらう,,
to hate,,
N3,,
TOP 5000,,
講演,,
こうえん,,
