Words,Reading,Meaning
崖,がけ,cliff
体つき,からだつき,body build
成熟,せいじゅく,maturity
振り,ふり,"swing,  shake, wave"
概念,がいねん,general idea
概説,がいせつ,general statement
好ましい,このましい,"nice, likeable, desirable"
軌範,きはん,"model, standard, pattern, norm, criterion"
垢,あか,dirt
体力,たいりょく,"stamina, endurance, physical strength"
いい加減,いいかげん,"irresponsible, lukewarm, half-baked"
政権,せいけん,"political administration, political power"
気まぐれ,きまぐれ,whim
成年,せいねん,adult age
概略,がいりゃく,outline
熱量,ねつりょう,calorific value
そっぽ,そっぽ,the other way
体裁,ていさい,"appearance, format, form, style"
隠居,いんきょ,retirement
体験,たいけん,personal experience
来る,きたる,next
傷つく,きずつく,to be wounded; ...
汚れる,けがれる,"to be violated, to be corrupted"
喜劇,きげき,comedy
外来,がいらい,foreign
器,うつわ,"bowl, vessel, container"
平方,へいほう,square
起源,きげん,origin
兆し,きざし,signs
向上,こうじょう,elevation
成り立つ,なりたつ,to consist of
レッスン,レッスン,lesson
山岳,さんがく,mountains
なるたけ,なるたけ,as much as possible
成果,せいか,fruits
器官,きかん,organ
レディー,レディー,lady
当て,あて,aim
効き目,ききめ,effect
婉曲,えんきょく,euphemistic
ふさわしい,ふさわしい,appropriate
トランジスタ,トランジスタ,electrical transistor
相応,そうおう,suitability
しなやか,しなやか,"supple, flexible, elastic"
参上,さんじょう,calling on
コントロール,コントロール,control
参照,さんしょう,reference
当たり,あたり,hit
体格,たいかく,physique
下火,したび,"burning low, waning, declining"
コントラスト,コントラスト,contrast
向き,むき,direction
明朗,めいろう,cheerful
売り出す,うりだす,to put on the market
明瞭,めいりょう,clarity
勢力,せいりょく,"influence, power, might"
専修,せんしゅう,specialization
駄作,ださく,poor piece of work
検事,けんじ,public prosecutor
降伏,こうふく,capitulation
陰気,いんき,gloomy
治安,ちあん,public order
吟味,ぎんみ,close examination
治まる,おさまる,to be at peace
潤う,うるおう,to be moist; ...
よほど,よほど,very
もっぱら,もっぱら,wholly
よって,よって,therefore
梅干し,うめぼし,umeboshi
