"大人 adult","人口 population","商人 trader","人間 human being","人生 human life","毎日 everyday","日記 journal","日付 date","平日 weekday","祝日 public holiday"
"一番 the most","一致 agreement","一緒 together","一日 one day","一言 a few words","大学 university","莫大 vast","大変 very, hard","大切 important","大勢 crowd"
"学校 school","数学 math","入学 entry to school","留学 studying abroad","通学 school commute","何時も always","何で why, what for","何しろ anyhow","何分 some, any","何となく somehow or other"
"月給 monthly salary","月末 end of the month","月賦 monthly installment","月並み every month","月謝 monthly tuition fee","未来 distant future","来週 next week","将来 near future","本来 originally","来日 arrival in Japan"
"八百屋 greengrocer","百姓 farmer","百貨店 department store","何百 hundreds","数百 several hundreds","西洋 the west","西暦 common era (AD)","関西 kansai region","東西 east and west","西日 afternoon sun"
"夏休み summer vacation","休む rest","休暇 holiday","休憩 break","休息 rest","校長 principal","議長 chairman","長い long","社長 company pres.","成長 growth"
"時間 time","人間 human being","瞬間
moment","時間割 timetable","間に合う in time","病気 illness","電気 electricity","気分 feeling","天気予報 weather forecast","気候 climate"
"時計 clock","時間 time","時々 sometimes","当時 at that time","時刻表 schedule","二十日 20th of the month","十分 enough","十字路 crossroads","二十歳 20 years old","十日 10th of the month"
"小川 stream","川沿い along the river","川岸 riverbank","谷川 mountain stream","堀川 canal","新聞 newspaper","聞く to hear","聞こえる to be audible","聴聞 listening","見聞 observation"
"東京 Tokyo","東部 eastern part","東側 east side","東方 eastern direction","北東 northeast","英語 english","言語 language","物語 story","国語 national language","略語 abbreviation"
,,,,,,,,,
少年,年寄り,青年,今年,去年,基本,本能,本質,本棚,本物
出版,輸出,出る,出す,出血,夜中,中立,途中,中心,背中
電話,会話,話す,世話,話し合う,高速,高価,最高,高校,高い
登山,火山,山脈,山火事,氷山,今週,今年,今日,今朝,今回
千里,何千,数千,千円札,千葉県,右手,右側,右折,左右,右足
靴下,地下鉄,下手,下がる,以下,祖母,お母さん,母校,母親,乳母車
女性,少女,女の子,彼女,女子,午前,手前,前提,名前,以前
三つ,再三,三日,三振,第三者,収入,輸入,入学,入れる,入る
九つ,九日,九州,九重,十九,停電,電池,電気,電車,電話
円満,円滑,円柱,円高,円卓,父親,祖父母,お父さん,伯父,祖父
,,,,,,,,,
椅子,子供,息子,菓子,帽子,国民,国語,外国,国籍,国際
発見,見せる,花見,見る,見物,上手,上る,上げる,上着,以上
教科書,書く,書店,図書館,書類,署名,有名,名所,名刺,名物
五日,五分,五つ,五目,五感,金属,現金,金融,金庫,お金
左手,左肩,左利き,左折,左側,火災,火山,花火,下火,火事
半島,半分,大半,半端,半ば,毎朝,毎晩,毎日,毎度,毎回
八つ,八丁,十八番,八百屋,八日,土産,土地,土台,粘土,土手
水泳,香水,淡水,水道,水分,北側,北海道,東北,北東,北口
天才,天候,天気,天然,晴天,読書,読む,購読,解読,読み方
木材,植木,並木,木綿,木の葉,自動車,駐車場,発車,自転車,電車
,,,,,,,,,
気分,分析,自分,半分,多分,旅行,銀行,行動,行く,並行
生活,生きる,生まれる,生む,生意気,二つ,二十日,二部,二日酔い,二番
男性,男の子,男子,長男,男女,四つ,四季,四角,四日,四国
郊外,海外,外国人,以外,外国,先生,先週,先ず,先輩,優先
梅雨,雨戸,雨天,雨季,雨具,正午,午前,午後,午前中,午後中
小学校,小説,小屋,小さい,小売,後ろ,最後,直後,後者,今後
中学校,高校,登校,校庭,校舎,六つ,六日,六時,六角,十六
友情,友達,友人,親友,交友,万能,万一,万年筆,万引き,万事
南極,南北,南瓜,南東,南側,白い,真っ白,面白い,告白,青白い
食堂,食事,食欲,食品,食べる,七つ,七日,十七,七夕,十七日
